month,season,Accident_Severity,Accident_Severity_pred
Sep,Fall,1,2
Jan,Winter,1,1
Jan,Winter,1,1
Aug,Summer,1,1
Nov,Fall,2,2
Jan,Winter,1,1
May,Spring,2,2
Jun,Summer,1,1
May,Spring,1,1
Jul,Summer,2,2
Nov,Fall,2,2
Sep,Fall,1,1
Sep,Fall,1,1
Nov,Fall,2,2
Sep,Fall,2,1
May,Spring,1,1
Dec,Winter,1,1
Jan,Winter,1,1
Aug,Summer,2,2
Apr,Spring,2,2
Oct,Fall,1,1
Jun,Summer,1,2
Sep,Fall,1,1
Sep,Fall,1,1
Dec,Winter,2,2
Sep,Fall,2,2
Aug,Summer,1,1
Mar,Spring,2,1
Nov,Fall,1,1
Aug,Summer,1,1
Aug,Summer,2,2
Oct,Fall,2,2
Oct,Fall,1,1
Jul,Summer,2,2
Jun,Summer,1,1
Jan,Winter,1,2
Aug,Summer,1,1
Jan,Winter,2,2
Apr,Spring,1,1
Jan,Winter,1,1
Apr,Spring,1,1
Jul,Summer,1,1
Oct,Fall,1,1
Sep,Fall,1,1
Aug,Summer,1,1
Dec,Winter,1,1
Dec,Winter,1,1
Nov,Fall,1,1
Oct,Fall,1,1
May,Spring,2,2
Aug,Summer,1,1
Sep,Fall,2,2
Dec,Winter,2,2
May,Spring,1,1
Apr,Spring,2,2
Apr,Spring,1,1
Sep,Fall,1,1
Jan,Winter,2,2
Jul,Summer,1,2
Aug,Summer,1,1
Jan,Winter,2,2
Nov,Fall,1,1
Aug,Summer,2,2
Oct,Fall,2,2
Jan,Winter,2,2
May,Spring,1,1
Nov,Fall,1,1
Sep,Fall,2,1
Jul,Summer,1,1
May,Spring,2,2
Sep,Fall,2,2
Oct,Fall,2,2
Nov,Fall,1,1
Apr,Spring,1,2
Dec,Winter,1,1
May,Spring,1,1
Dec,Winter,1,1
Jun,Summer,2,1
Oct,Fall,2,2
May,Spring,2,2
Nov,Fall,2,2
Aug,Summer,1,1
Apr,Spring,1,1
Dec,Winter,2,2
Dec,Winter,1,1
Oct,Fall,1,1
Apr,Spring,2,2
Jan,Winter,2,2
Nov,Fall,2,2
Jun,Summer,1,1
Oct,Fall,1,1
Aug,Summer,2,2
Dec,Winter,2,1
Aug,Summer,1,1
Aug,Summer,1,1
May,Spring,2,2
Nov,Fall,1,1
Jun,Summer,2,2
Dec,Winter,2,2
Aug,Summer,2,2
Dec,Winter,1,1
Oct,Fall,1,1
Sep,Fall,2,2
Apr,Spring,1,1
Jun,Summer,2,2
Jul,Summer,2,2
May,Spring,2,2
Dec,Winter,2,2
Jun,Summer,2,1
Oct,Fall,1,1
Dec,Winter,1,1
Oct,Fall,1,1
Nov,Fall,1,2
Sep,Fall,2,2
Jun,Summer,1,1
Aug,Summer,1,2
Sep,Fall,2,2
Jul,Summer,1,2
Jan,Winter,2,2
Dec,Winter,2,2
Jun,Summer,2,2
Nov,Fall,1,1
Aug,Summer,1,1
Jul,Summer,2,2
Sep,Fall,1,1
Nov,Fall,1,1
Jan,Winter,1,1
Aug,Summer,2,2
May,Spring,1,2
Nov,Fall,2,2
Nov,Fall,1,1
Jan,Winter,2,2
Jul,Summer,1,1
Aug,Summer,2,2
Jun,Summer,1,1
Dec,Winter,2,2
Dec,Winter,2,2
May,Spring,2,1
Aug,Summer,2,1
Dec,Winter,1,1
Aug,Summer,1,1
Nov,Fall,2,2
Nov,Fall,1,1
Oct,Fall,1,1
Apr,Spring,2,2
Oct,Fall,1,1
Jul,Summer,1,1
Sep,Fall,1,1
Nov,Fall,2,2
Apr,Spring,2,2
May,Spring,2,2
Dec,Winter,2,2
Aug,Summer,3,2
Sep,Fall,1,1
Jul,Summer,2,2
Mar,Spring,2,2
Mar,Spring,2,2
Dec,Winter,2,2
Jul,Summer,1,1
Dec,Winter,1,1
Aug,Summer,2,2
Jan,Winter,2,1
Oct,Fall,2,2
Jul,Summer,2,2
Dec,Winter,2,2
Sep,Fall,1,1
Aug,Summer,1,1
Aug,Summer,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Jan,Winter,2,2
Aug,Summer,2,2
May,Spring,1,1
Jun,Summer,1,1
Jun,Summer,1,1
Feb,Winter,2,1
Jun,Summer,1,1
Jan,Winter,2,2
Oct,Fall,2,2
Jun,Summer,2,2
Jun,Summer,1,1
Dec,Winter,1,1
Jun,Summer,2,2
Sep,Fall,1,1
Mar,Spring,1,1
Oct,Fall,2,2
Oct,Fall,1,1
Oct,Fall,1,1
Apr,Spring,1,1
Jul,Summer,1,1
Oct,Fall,2,2
Sep,Fall,1,1
Aug,Summer,1,1
Jul,Summer,2,2
Oct,Fall,1,1
Jul,Summer,2,2
Aug,Summer,2,2
Jun,Summer,1,1
Dec,Winter,1,1
Nov,Fall,1,2
Jan,Winter,2,2
May,Spring,2,2
Dec,Winter,1,1
Sep,Fall,1,1
Dec,Winter,1,1
Nov,Fall,1,1
Dec,Winter,2,2
Nov,Fall,1,1
Jun,Summer,2,2
Aug,Summer,1,1
May,Spring,1,1
Nov,Fall,1,1
Sep,Fall,1,1
Jun,Summer,1,1
Jun,Summer,1,1
Aug,Summer,1,1
Jun,Summer,1,1
Dec,Winter,1,1
Jun,Summer,1,1
Apr,Spring,1,1
Jan,Winter,1,1
Aug,Summer,2,2
Dec,Winter,1,1
Nov,Fall,1,1
May,Spring,1,1
Mar,Spring,2,2
Jul,Summer,1,1
Jun,Summer,1,1
Sep,Fall,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Jan,Winter,1,1
Oct,Fall,2,2
Nov,Fall,2,2
Aug,Summer,2,2
Nov,Fall,2,2
Feb,Winter,2,1
Jul,Summer,1,1
Jan,Winter,1,1
Aug,Summer,1,1
Jul,Summer,1,1
Jul,Summer,2,2
Aug,Summer,1,1
May,Spring,1,1
Apr,Spring,2,2
Dec,Winter,1,1
Sep,Fall,1,1
Mar,Spring,1,1
May,Spring,2,2
Dec,Winter,2,2
Nov,Fall,2,2
Sep,Fall,1,1
Jan,Winter,2,2
Aug,Summer,2,1
Jun,Summer,1,1
Jun,Summer,2,2
Oct,Fall,1,1
Aug,Summer,1,1
Jul,Summer,2,2
May,Spring,1,1
Dec,Winter,1,1
Jun,Summer,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Jan,Winter,1,1
Nov,Fall,1,1
Oct,Fall,1,1
Jun,Summer,2,2
Jun,Summer,2,2
Oct,Fall,1,1
Jan,Winter,1,1
Nov,Fall,2,2
Jun,Summer,1,1
Mar,Spring,2,2
Jun,Summer,2,2
Jul,Summer,1,1
Sep,Fall,1,1
Aug,Summer,2,2
May,Spring,1,1
Jul,Summer,1,1
Sep,Fall,1,1
Dec,Winter,2,2
Aug,Summer,1,1
Aug,Summer,2,2
Dec,Winter,1,1
Jul,Summer,1,2
Aug,Summer,1,1
Jul,Summer,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Sep,Fall,2,2
Jan,Winter,1,1
Nov,Fall,1,1
Jul,Summer,2,2
Dec,Winter,2,2
Dec,Winter,1,1
Aug,Summer,2,2
Nov,Fall,1,1
Jan,Winter,2,2
Mar,Spring,1,1
Dec,Winter,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Oct,Fall,1,1
Apr,Spring,2,2
Aug,Summer,1,1
Jun,Summer,1,2
Nov,Fall,1,1
Dec,Winter,2,2
Oct,Fall,2,2
Oct,Fall,1,1
Sep,Fall,1,1
Jan,Winter,1,1
Oct,Fall,2,2
Oct,Fall,1,1
Mar,Spring,1,1
Jan,Winter,2,2
Jan,Winter,2,2
Sep,Fall,1,2
Nov,Fall,2,2
Sep,Fall,2,1
Aug,Summer,2,2
Aug,Summer,2,2
Aug,Summer,1,1
Oct,Fall,1,1
Jan,Winter,1,1
May,Spring,1,2
Dec,Winter,2,2
Sep,Fall,1,1
Nov,Fall,2,2
Jun,Summer,1,1
Apr,Spring,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Sep,Fall,1,2
Aug,Summer,1,1
Nov,Fall,1,1
May,Spring,2,2
Oct,Fall,1,1
May,Spring,2,2
Jul,Summer,2,2
Aug,Summer,1,1
Jan,Winter,1,1
Oct,Fall,1,1
Aug,Summer,2,2
Aug,Summer,1,1
Nov,Fall,1,1
Jul,Summer,2,2
Jul,Summer,2,2
Apr,Spring,1,1
Dec,Winter,2,2
Jun,Summer,1,1
Oct,Fall,1,1
Sep,Fall,1,1
Aug,Summer,1,1
May,Spring,2,2
Aug,Summer,1,1
Aug,Summer,1,1
Dec,Winter,2,2
Nov,Fall,1,1
Dec,Winter,2,2
Oct,Fall,2,2
Jun,Summer,1,1
Oct,Fall,1,1
Dec,Winter,2,2
Apr,Spring,1,1
Aug,Summer,1,1
Jul,Summer,1,2
Oct,Fall,2,1
Dec,Winter,2,2
Oct,Fall,2,2
Dec,Winter,1,1
Oct,Fall,1,1
Oct,Fall,2,2
Mar,Spring,2,2
Jul,Summer,2,1
Oct,Fall,2,2
Aug,Summer,2,2
Nov,Fall,1,1
Dec,Winter,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Apr,Spring,2,2
Nov,Fall,1,1
Apr,Spring,1,1
Dec,Winter,1,1
Aug,Summer,1,1
Dec,Winter,2,2
Dec,Winter,1,1
Feb,Winter,2,1
Jul,Summer,1,1
Aug,Summer,1,1
May,Spring,1,1
Nov,Fall,2,2
Apr,Spring,1,1
Nov,Fall,2,2
Dec,Winter,1,1
Aug,Summer,1,1
Aug,Summer,2,2
Aug,Summer,1,1
Jun,Summer,2,2
Jan,Winter,2,1
Apr,Spring,1,1
Jul,Summer,2,2
Dec,Winter,1,1
Sep,Fall,1,1
Apr,Spring,2,2
Dec,Winter,1,1
Dec,Winter,1,1
Nov,Fall,1,2
Nov,Fall,2,2
May,Spring,1,1
Dec,Winter,2,2
Sep,Fall,1,1
Jul,Summer,1,1
Apr,Spring,1,1
Oct,Fall,1,1
Jan,Winter,1,1
Nov,Fall,2,2
Aug,Summer,2,2
Dec,Winter,1,1
Jan,Winter,1,1
Jul,Summer,2,2
Jul,Summer,1,1
Jun,Summer,2,2
Jan,Winter,2,2
Oct,Fall,1,1
Apr,Spring,2,2
Oct,Fall,2,2
Oct,Fall,1,1
Dec,Winter,1,1
Nov,Fall,2,2
Sep,Fall,2,2
Apr,Spring,1,1
Oct,Fall,2,2
Mar,Spring,2,2
Nov,Fall,2,2
May,Spring,1,1
Jun,Summer,2,1
Jun,Summer,1,1
Jun,Summer,1,2
Dec,Winter,1,1
Jan,Winter,1,1
Nov,Fall,1,1
Jan,Winter,2,2
Dec,Winter,1,2
Aug,Summer,2,2
Aug,Summer,1,1
Nov,Fall,1,1
Sep,Fall,1,1
Aug,Summer,2,2
Dec,Winter,1,1
Oct,Fall,1,1
Jun,Summer,2,2
Oct,Fall,1,1
Dec,Winter,2,1
Nov,Fall,2,2
Jul,Summer,2,2
Jan,Winter,1,1
Jun,Summer,1,1
Nov,Fall,2,2
Dec,Winter,2,2
May,Spring,2,2
Dec,Winter,1,1
Nov,Fall,1,1
Nov,Fall,2,2
Aug,Summer,1,1
Oct,Fall,2,2
Jan,Winter,2,2
Aug,Summer,1,1
Apr,Spring,2,2
May,Spring,2,2
Jan,Winter,1,1
Sep,Fall,1,1
Feb,Winter,1,1
Aug,Summer,1,1
Aug,Summer,2,2
Mar,Spring,1,1
Jun,Summer,2,2
May,Spring,1,1
Nov,Fall,1,1
Oct,Fall,2,2
Dec,Winter,2,2
Sep,Fall,2,1
Apr,Spring,1,1
Nov,Fall,1,1
Dec,Winter,1,1
Aug,Summer,1,1
Mar,Spring,2,2
Aug,Summer,2,2
Dec,Winter,2,2
Aug,Summer,2,2
Aug,Summer,1,1
Jul,Summer,1,1
Jan,Winter,2,2
Jun,Summer,1,1
Sep,Fall,1,1
Jul,Summer,2,2
Aug,Summer,2,2
Oct,Fall,2,1
Jun,Summer,2,2
Jun,Summer,2,2
Sep,Fall,1,1
Jun,Summer,1,1
Sep,Fall,2,2
Jan,Winter,1,1
Jun,Summer,2,2
Jun,Summer,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Nov,Fall,1,1
May,Spring,1,1
Aug,Summer,1,1
Apr,Spring,1,1
Nov,Fall,2,2
Jun,Summer,2,2
Oct,Fall,2,2
Dec,Winter,1,1
Nov,Fall,1,1
Sep,Fall,1,1
Jan,Winter,2,2
Jun,Summer,1,1
Sep,Fall,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Jun,Summer,2,2
Nov,Fall,1,1
Jan,Winter,1,1
Jun,Summer,2,2
Aug,Summer,2,2
Jan,Winter,1,1
Nov,Fall,1,1
Jun,Summer,1,1
Jul,Summer,1,1
Jan,Winter,1,1
Nov,Fall,1,1
Dec,Winter,1,1
Apr,Spring,1,1
Sep,Fall,1,1
Aug,Summer,2,2
Nov,Fall,1,1
Oct,Fall,2,2
Jul,Summer,1,1
Jul,Summer,1,1
Oct,Fall,2,2
Jul,Summer,2,2
Jan,Winter,2,2
Sep,Fall,1,1
Jul,Summer,2,2
Apr,Spring,2,2
Aug,Summer,1,1
May,Spring,1,1
Apr,Spring,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Dec,Winter,1,1
Aug,Summer,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Jan,Winter,1,1
Nov,Fall,1,1
Aug,Summer,1,1
Jan,Winter,1,1
Jan,Winter,2,2
Dec,Winter,1,1
Apr,Spring,1,1
Sep,Fall,1,1
Sep,Fall,1,1
Jun,Summer,1,1
Dec,Winter,2,2
Nov,Fall,2,2
Jul,Summer,1,1
Jun,Summer,2,2
Jun,Summer,1,2
Jun,Summer,2,2
Jan,Winter,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Dec,Winter,2,2
Jul,Summer,1,1
Nov,Fall,2,2
Nov,Fall,2,2
Jan,Winter,1,1
Jul,Summer,1,1
Aug,Summer,2,1
May,Spring,1,1
Jan,Winter,2,2
Oct,Fall,2,2
Jul,Summer,2,2
Aug,Summer,1,1
Jan,Winter,2,2
Oct,Fall,1,1
Oct,Fall,2,2
Sep,Fall,1,1
Nov,Fall,1,1
Jul,Summer,1,1
Jun,Summer,2,2
Jan,Winter,1,1
Nov,Fall,1,1
Oct,Fall,1,1
Aug,Summer,2,2
Nov,Fall,1,1
May,Spring,1,1
Sep,Fall,1,1
Apr,Spring,2,2
Jan,Winter,1,1
Sep,Fall,1,1
Sep,Fall,2,2
Dec,Winter,1,1
Aug,Summer,1,1
Oct,Fall,2,2
Apr,Spring,2,2
May,Spring,2,2
Sep,Fall,2,2
Jun,Summer,1,1
May,Spring,1,1
Oct,Fall,2,2
Apr,Spring,1,1
Nov,Fall,2,2
Oct,Fall,2,1
Apr,Spring,1,1
Aug,Summer,2,2
Jun,Summer,1,1
Dec,Winter,2,2
May,Spring,2,2
Aug,Summer,1,1
Jan,Winter,2,1
Oct,Fall,2,2
Jul,Summer,1,1
Apr,Spring,2,2
Aug,Summer,1,1
Aug,Summer,1,1
Sep,Fall,1,1
Oct,Fall,1,1
Aug,Summer,1,1
May,Spring,1,1
Oct,Fall,2,2
Nov,Fall,1,1
Jan,Winter,1,1
Sep,Fall,1,1
Oct,Fall,1,1
Nov,Fall,1,1
Dec,Winter,2,1
May,Spring,2,2
Aug,Summer,2,2
Jul,Summer,2,2
Oct,Fall,1,1
Oct,Fall,1,2
Jul,Summer,1,1
Jun,Summer,1,1
Nov,Fall,2,2
Nov,Fall,1,2
Sep,Fall,1,1
Sep,Fall,2,2
Oct,Fall,1,1
Jun,Summer,1,1
Jan,Winter,1,1
Jul,Summer,1,1
Jun,Summer,1,1
Jul,Summer,1,1
Sep,Fall,2,2
Oct,Fall,1,1
Nov,Fall,1,1
Sep,Fall,1,1
Jun,Summer,2,2
Sep,Fall,2,2
Oct,Fall,1,1
Jun,Summer,1,1
Nov,Fall,2,1
Dec,Winter,2,2
Oct,Fall,1,1
Jun,Summer,1,1
Dec,Winter,2,2
Oct,Fall,1,1
Aug,Summer,2,2
Apr,Spring,1,1
Dec,Winter,1,1
Aug,Summer,2,2
Dec,Winter,1,1
Nov,Fall,1,1
Nov,Fall,2,2
Jan,Winter,1,1
Jan,Winter,2,2
Sep,Fall,1,1
Sep,Fall,2,2
Nov,Fall,1,1
Jul,Summer,2,2
May,Spring,1,1
Jun,Summer,2,2
Jan,Winter,1,1
Jul,Summer,2,2
Sep,Fall,2,2
Aug,Summer,1,1
Mar,Spring,1,1
Nov,Fall,2,2
Aug,Summer,1,1
Dec,Winter,1,1
Aug,Summer,1,1
Mar,Spring,1,1
Nov,Fall,2,2
Aug,Summer,1,1
Dec,Winter,2,2
Aug,Summer,1,1
Nov,Fall,1,1
Jun,Summer,2,2
Dec,Winter,2,2
Jan,Winter,1,1
Jan,Winter,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Aug,Summer,1,1
Sep,Fall,2,2
Nov,Fall,1,1
Oct,Fall,2,2
Aug,Summer,2,2
Jan,Winter,1,1
Apr,Spring,2,2
Jul,Summer,1,1
Dec,Winter,1,2
Dec,Winter,1,1
Sep,Fall,1,1
Jul,Summer,2,2
Oct,Fall,2,2
Dec,Winter,1,1
Dec,Winter,1,1
Mar,Spring,2,2
Mar,Spring,2,2
Jun,Summer,2,2
Aug,Summer,1,1
Nov,Fall,1,1
Sep,Fall,1,1
May,Spring,2,2
Jul,Summer,1,1
Aug,Summer,1,1
Dec,Winter,2,2
Nov,Fall,1,1
Oct,Fall,1,1
Jan,Winter,2,1
Jan,Winter,1,1
Sep,Fall,2,2
Dec,Winter,1,1
Jun,Summer,1,1
Jan,Winter,2,2
Oct,Fall,1,1
Jul,Summer,1,1
Jul,Summer,2,1
Jun,Summer,1,1
Oct,Fall,1,1
Nov,Fall,1,1
Apr,Spring,1,1
Sep,Fall,1,1
Feb,Winter,2,2
Jan,Winter,2,2
Aug,Summer,2,2
Sep,Fall,1,1
Aug,Summer,1,1
May,Spring,2,2
Sep,Fall,1,1
Aug,Summer,2,2
Aug,Summer,1,1
Dec,Winter,2,1
Apr,Spring,1,1
Nov,Fall,1,1
Aug,Summer,2,2
Nov,Fall,1,1
Jun,Summer,1,1
Apr,Spring,2,2
Nov,Fall,1,1
Nov,Fall,1,1
May,Spring,1,1
Jan,Winter,2,2
Jun,Summer,1,1
May,Spring,2,1
Jan,Winter,2,2
Jul,Summer,1,1
Aug,Summer,2,2
Apr,Spring,2,2
Aug,Summer,1,1
May,Spring,2,2
Dec,Winter,2,2
Aug,Summer,2,2
Jul,Summer,1,2
Jul,Summer,1,1
Jun,Summer,1,1
Aug,Summer,2,2
Sep,Fall,1,1
Jul,Summer,1,1
Oct,Fall,1,1
Sep,Fall,2,2
Dec,Winter,1,1
Dec,Winter,1,1
Jan,Winter,2,1
Nov,Fall,1,1
Oct,Fall,1,1
Nov,Fall,2,2
Apr,Spring,1,1
Jan,Winter,1,1
Jul,Summer,2,2
Oct,Fall,1,1
Jan,Winter,1,1
Apr,Spring,2,2
Jun,Summer,2,2
Aug,Summer,1,1
May,Spring,1,1
Sep,Fall,1,2
Aug,Summer,1,1
Nov,Fall,1,1
May,Spring,1,1
Nov,Fall,2,2
Jan,Winter,2,2
Jul,Summer,1,2
Jun,Summer,1,1
Oct,Fall,2,2
Sep,Fall,2,2
Aug,Summer,1,2
Sep,Fall,2,1
Aug,Summer,1,1
Aug,Summer,1,1
May,Spring,1,1
Sep,Fall,1,1
Dec,Winter,1,1
Jan,Winter,2,1
Jan,Winter,1,1
Jun,Summer,1,1
Jul,Summer,2,2
Oct,Fall,2,2
Sep,Fall,1,1
Jan,Winter,1,1
Aug,Summer,1,1
Sep,Fall,2,2
Sep,Fall,2,1
Nov,Fall,1,1
Jul,Summer,2,2
Jun,Summer,1,1
Jul,Summer,2,2
May,Spring,1,1
Oct,Fall,1,1
Apr,Spring,2,2
Dec,Winter,2,1
Aug,Summer,2,2
Oct,Fall,1,1
Dec,Winter,2,2
Jul,Summer,1,1
Jun,Summer,1,1
Jun,Summer,1,1
Jun,Summer,2,1
Jan,Winter,1,1
Jan,Winter,2,2
Jul,Summer,1,1
Nov,Fall,1,1
Dec,Winter,2,2
Nov,Fall,1,1
Jun,Summer,2,2
Sep,Fall,1,1
Jul,Summer,2,2
Oct,Fall,1,1
Sep,Fall,2,2
Aug,Summer,1,1
Jan,Winter,1,1
Aug,Summer,1,2
Jul,Summer,2,2
Sep,Fall,2,2
Apr,Spring,2,2
Jul,Summer,2,2
Jan,Winter,1,1
Sep,Fall,2,2
Apr,Spring,1,1
Sep,Fall,2,2
Oct,Fall,2,1
Aug,Summer,1,1
Jan,Winter,1,1
Dec,Winter,1,1
Sep,Fall,1,1
Sep,Fall,2,2
Dec,Winter,1,1
Jan,Winter,0,1
Aug,Summer,1,1
May,Spring,1,1
Sep,Fall,2,2
Nov,Fall,1,1
Aug,Summer,2,2
Aug,Summer,1,1
Sep,Fall,1,1
Sep,Fall,2,2
Dec,Winter,2,2
Nov,Fall,2,2
Aug,Summer,2,2
Jan,Winter,2,2
Aug,Summer,2,2
Oct,Fall,2,2
Jul,Summer,1,1
May,Spring,1,1
Sep,Fall,2,2
Dec,Winter,1,1
Oct,Fall,2,2
Aug,Summer,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Jun,Summer,1,1
Sep,Fall,2,2
Nov,Fall,1,1
Jul,Summer,2,2
Nov,Fall,1,1
Jun,Summer,2,2
Apr,Spring,2,2
May,Spring,2,2
Oct,Fall,1,1
Nov,Fall,1,1
Jan,Winter,2,2
May,Spring,1,2
Jun,Summer,1,1
Oct,Fall,2,2
Aug,Summer,1,2
Oct,Fall,1,2
Nov,Fall,1,1
Dec,Winter,1,1
Oct,Fall,2,1
Nov,Fall,2,2
Sep,Fall,2,2
Nov,Fall,2,2
Sep,Fall,1,1
Sep,Fall,1,1
Jul,Summer,2,2
Oct,Fall,2,2
Aug,Summer,1,1
Jul,Summer,1,1
Jan,Winter,1,1
Jul,Summer,1,1
Apr,Spring,1,1
Dec,Winter,1,1
Apr,Spring,1,1
Nov,Fall,2,2
Jan,Winter,1,1
Aug,Summer,2,2
Jun,Summer,1,1
Nov,Fall,1,1
Dec,Winter,2,1
Sep,Fall,2,2
Oct,Fall,1,1
Oct,Fall,1,1
Jun,Summer,1,1
Jun,Summer,2,2
Oct,Fall,1,1
Jul,Summer,2,2
Jan,Winter,2,2
Sep,Fall,1,1
Apr,Spring,1,1
Apr,Spring,2,2
Aug,Summer,1,2
Aug,Summer,1,1
Jun,Summer,1,1
Nov,Fall,2,2
Oct,Fall,2,2
Jan,Winter,2,2
Aug,Summer,1,1
Jan,Winter,1,1
Aug,Summer,1,1
Jul,Summer,1,1
Nov,Fall,1,1
Apr,Spring,1,1
Aug,Summer,1,1
Jul,Summer,1,1
Aug,Summer,2,2
Nov,Fall,1,1
Nov,Fall,1,2
Oct,Fall,1,1
Sep,Fall,2,2
Oct,Fall,1,1
May,Spring,2,2
Jan,Winter,2,2
Aug,Summer,1,1
Jul,Summer,2,2
Jul,Summer,2,2
Nov,Fall,2,2
Oct,Fall,2,2
Oct,Fall,1,1
Aug,Summer,2,2
Jan,Winter,1,1
May,Spring,1,1
Dec,Winter,1,1
Oct,Fall,2,2
Dec,Winter,1,2
Jul,Summer,2,2
Oct,Fall,1,1
Dec,Winter,2,2
Apr,Spring,1,1
Jun,Summer,2,2
Oct,Fall,2,2
Jan,Winter,2,2
Oct,Fall,2,2
Dec,Winter,2,2
Nov,Fall,1,2
Aug,Summer,1,1
Nov,Fall,1,1
Jun,Summer,1,1
Sep,Fall,2,2
Dec,Winter,2,2
May,Spring,2,2
Dec,Winter,1,1
Apr,Spring,2,2
Apr,Spring,1,1
Jan,Winter,2,2
Aug,Summer,2,1
Jul,Summer,1,2
Oct,Fall,1,1
Dec,Winter,1,1
Sep,Fall,1,2
Jan,Winter,1,1
Oct,Fall,2,2
Mar,Spring,1,1
Aug,Summer,1,1
Dec,Winter,2,2
Nov,Fall,2,2
Mar,Spring,1,1
Oct,Fall,2,2
Oct,Fall,1,1
Sep,Fall,2,2
Nov,Fall,2,2
Jan,Winter,2,2
Jul,Summer,2,2
Sep,Fall,2,2
Jun,Summer,2,1
Oct,Fall,2,2
Dec,Winter,1,2
Sep,Fall,1,1
Nov,Fall,1,1
Jun,Summer,2,2
Sep,Fall,1,1
Aug,Summer,2,1
Jul,Summer,1,1
Nov,Fall,1,1
Dec,Winter,1,1
Dec,Winter,2,2
Dec,Winter,1,1
Dec,Winter,1,1
Dec,Winter,1,2
Oct,Fall,2,2
Oct,Fall,1,1
Sep,Fall,2,2
Nov,Fall,1,1
Jan,Winter,1,1
Oct,Fall,2,2
Dec,Winter,1,1
Dec,Winter,1,1
Jul,Summer,1,1
Apr,Spring,1,1
Aug,Summer,1,1
Dec,Winter,1,1
Dec,Winter,2,2
Oct,Fall,1,1
Dec,Winter,1,1
May,Spring,2,2
Dec,Winter,2,2
Dec,Winter,1,1
May,Spring,1,1
Nov,Fall,1,1
Jul,Summer,2,2
Oct,Fall,2,2
Apr,Spring,2,2
Aug,Summer,1,1
Aug,Summer,1,1
Oct,Fall,1,1
Dec,Winter,2,2
Dec,Winter,2,1
Aug,Summer,2,2
Aug,Summer,1,1
Oct,Fall,2,1
Jul,Summer,2,1
Sep,Fall,2,2
Jun,Summer,1,1
Dec,Winter,1,1
Dec,Winter,1,1
Dec,Winter,1,1
Aug,Summer,2,2
Aug,Summer,1,2
Dec,Winter,1,2
Sep,Fall,1,1
Dec,Winter,1,1
Apr,Spring,2,2
Aug,Summer,1,1
May,Spring,1,1
Mar,Spring,2,2
Jul,Summer,2,2
Dec,Winter,1,1
Nov,Fall,1,2
Jun,Summer,1,2
Aug,Summer,2,2
Dec,Winter,1,1
Jan,Winter,2,1
Oct,Fall,1,1
Jul,Summer,2,1
Jul,Summer,1,1
Apr,Spring,1,1
Aug,Summer,1,1
Jun,Summer,1,1
Nov,Fall,1,1
Aug,Summer,1,1
Jul,Summer,1,1
Oct,Fall,1,1
Jan,Winter,1,1
Jul,Summer,1,1
Sep,Fall,1,1
Dec,Winter,1,1
Aug,Summer,2,1
Sep,Fall,1,1
Oct,Fall,1,1
Jul,Summer,1,2
Nov,Fall,2,2
Sep,Fall,1,1
Apr,Spring,1,1
Sep,Fall,2,2
Aug,Summer,1,1
Jan,Winter,1,1
Apr,Spring,1,1
Oct,Fall,1,1
Dec,Winter,2,1
Aug,Summer,1,1
Oct,Fall,1,1
Jul,Summer,2,2
Aug,Summer,1,1
Oct,Fall,2,2
Jun,Summer,2,2
Aug,Summer,2,2
Oct,Fall,1,1
Oct,Fall,2,2
Aug,Summer,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Nov,Fall,1,1
Jan,Winter,2,2
May,Spring,1,1
Nov,Fall,2,2
Sep,Fall,1,1
Oct,Fall,1,1
Aug,Summer,2,2
Jan,Winter,1,1
Aug,Summer,2,2
May,Spring,1,1
Aug,Summer,1,1
Sep,Fall,1,1
Dec,Winter,1,1
Dec,Winter,2,1
Sep,Fall,2,2
Aug,Summer,2,2
Jul,Summer,1,1
Sep,Fall,1,1
Nov,Fall,1,1
Jul,Summer,1,1
Mar,Spring,1,1
Aug,Summer,2,2
Apr,Spring,2,1
Jul,Summer,2,2
Dec,Winter,1,1
Oct,Fall,2,2
Sep,Fall,1,1
Jun,Summer,2,2
Jun,Summer,1,1
Jun,Summer,2,1
Jun,Summer,2,2
Dec,Winter,2,2
Apr,Spring,1,1
Nov,Fall,2,2
Aug,Summer,2,2
Sep,Fall,1,1
Dec,Winter,2,2
Jun,Summer,1,1
Jun,Summer,2,2
Oct,Fall,2,2
Apr,Spring,2,2
Jan,Winter,1,1
Mar,Spring,1,1
Sep,Fall,1,1
Jan,Winter,1,1
May,Spring,2,2
